# (c) Der Bundeswahlleiter, Statistische Ämter des Bundes und der Länder, Wiesbaden 2017;;;;;;;;;;;;;;;;
# Vervielfältigung und Verbreitung, auch auszugsweise, mit Quellenangabe gestattet.;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 19. Deutschen Bundestag;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 28.02.2017;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;59;5990;164;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Steinberg;00;;;24972;
001;Flensburg – Schleswig;01;0;59;5990;167;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Sterup;00;;;24996;
001;Flensburg – Schleswig;01;0;59;5990;168;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Stoltebüll;00;;;24409;*****
001;Flensburg – Schleswig;01;0;59;5912;169;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Süderhackstedt;00;;;24852;*****
001;Flensburg – Schleswig;01;0;59;5940;171;Schleswig-Holstein;;Schleswig-Flensburg;Oeversee;Tarp;00;;;24963;
001;Flensburg – Schleswig;01;0;59;5952;173;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Wallsbüll;00;;;24980;
001;Flensburg – Schleswig;01;0;59;5912;174;Schleswig-Holstein;;Schleswig-Flensburg;Eggebek;Wanderup;00;;;24997;
001;Flensburg – Schleswig;01;0;59;5937;176;Schleswig-Holstein;;Schleswig-Flensburg;Langballig;Wees;00;;;24999;
001;Flensburg – Schleswig;01;0;59;5952;177;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Weesby;00;;;24994;
001;Flensburg – Schleswig;01;0;59;5937;178;Schleswig-Holstein;;Schleswig-Flensburg;Langballig;Westerholz;00;;;24977;
001;Flensburg – Schleswig;01;0;59;5952;179;Schleswig-Holstein;;Schleswig-Flensburg;Schafflund;Lindewitt;00;;;24969;
001;Flensburg – Schleswig;01;0;59;5919;182;Schleswig-Holstein;;Schleswig-Flensburg;Hürup;Freienwill;00;;;24991;
001;Flensburg – Schleswig;01;0;59;0000;183;Schleswig-Holstein;;Schleswig-Flensburg;;Handewitt;00;;;24983;*****
001;Flensburg – Schleswig;01;0;59;5940;184;Schleswig-Holstein;;Schleswig-Flensburg;Oeversee;Oeversee;00;;;24988;
001;Flensburg – Schleswig;01;0;59;5949;185;Schleswig-Holstein;;Schleswig-Flensburg;Amt Mittelangeln;Mittelangeln;00;;;24986;
001;Flensburg – Schleswig;01;0;59;5990;186;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Steinbergkirche;00;;;24972;
001;Flensburg – Schleswig;01;0;59;5974;187;Schleswig-Holstein;;Schleswig-Flensburg;Süderbrarup;Boren;00;;;24392;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;005;Schleswig-Holstein;;Dithmarschen;Eider;Barkenholm;00;;;25791;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;008;Schleswig-Holstein;;Dithmarschen;Eider;Bergewöhrden;00;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;013;Schleswig-Holstein;;Dithmarschen;Büsum-Wesselburen;Büsum;00;;;25761;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;014;Schleswig-Holstein;;Dithmarschen;Büsum-Wesselburen;Büsumer Deichhausen;00;;;25761;
