# (c) Der Bundeswahlleiter, Statistische Ämter des Bundes und der Länder, Wiesbaden 2020;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 20. Deutschen Bundestag (gemäß 24. Gesetz zur Änderung des Bundeswahlgesetzes vom 25.06.2020);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 15.04.2020;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;59;5996;096;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Wohlde;;;;24899;
001;Flensburg – Schleswig;01;0;59;5987;097;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Twedt;;;;24894;
001;Flensburg – Schleswig;01;0;59;5987;098;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Nübel;;;;24881;
001;Flensburg – Schleswig;01;0;59;5919;101;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Tastrup;;;;24943;
001;Flensburg – Schleswig;01;0;59;5990;102;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Ahneby;;;;24996;
001;Flensburg – Schleswig;01;0;59;5919;103;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Ausacker;;;;24975;
001;Flensburg – Schleswig;01;0;59;5952;105;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Böxlund;;;;24994;
001;Flensburg – Schleswig;01;0;59;5937;106;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Dollerup;;;;24989;
001;Flensburg – Schleswig;01;0;59;5912;107;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Eggebek;;;;24852;
001;Flensburg – Schleswig;01;0;59;5990;109;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Esgrus;;;;24402;
001;Flensburg – Schleswig;01;0;59;5990;112;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Gelting;;;;24395;
001;Flensburg – Schleswig;01;0;59;0000;113;Schleswig-Holstein;;Schleswig-Flensburg;;Glücksburg (Ostsee), Stadt;;;;24960;
001;Flensburg – Schleswig;01;0;59;5952;115;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Großenwiehe;;;;24969;
001;Flensburg – Schleswig;01;0;59;5919;116;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Großsolt;;;;24991;
001;Flensburg – Schleswig;01;0;59;5937;118;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Grundhof;;;;24977;
001;Flensburg – Schleswig;01;0;59;0000;120;Schleswig-Holstein;;Schleswig-Flensburg;;Harrislee;;;;24955;
001;Flensburg – Schleswig;01;0;59;5990;121;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Hasselberg;;;;24376;
001;Flensburg – Schleswig;01;0;59;5952;123;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Hörup;;;;24980;
001;Flensburg – Schleswig;01;0;59;5952;124;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Holt;;;;24994;
001;Flensburg – Schleswig;01;0;59;5919;126;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Hürup;;;;24975;
001;Flensburg – Schleswig;01;0;59;5919;127;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Husby;;;;24975;
001;Flensburg – Schleswig;01;0;59;5912;128;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Janneby;;;;24992;
001;Flensburg – Schleswig;01;0;59;5952;129;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Jardelund;;;;24994;
001;Flensburg – Schleswig;01;0;59;5912;131;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Jerrishoe;;;;24963;
001;Flensburg – Schleswig;01;0;59;5912;132;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Jörl;;;;24992;
001;Flensburg – Schleswig;01;0;59;5990;136;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Kronsgaard;;;;24395;
001;Flensburg – Schleswig;01;0;59;5937;137;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Langballig;;;;24977;
001;Flensburg – Schleswig;01;0;59;5912;138;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Langstedt;;;;24852;
001;Flensburg – Schleswig;01;0;59;5919;141;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Maasbüll;;;;24975;
001;Flensburg – Schleswig;01;0;59;5990;142;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Maasholm;;;;24404;*****
001;Flensburg – Schleswig;01;0;59;5952;143;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Medelby;;;;24994;
001;Flensburg – Schleswig;01;0;59;5952;144;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Meyn;;;;24980;
001;Flensburg – Schleswig;01;0;59;5937;145;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Munkbrarup;;;;24960;
001;Flensburg – Schleswig;01;0;59;5990;147;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Nieby;;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;148;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Niesgrau;;;;24395;
001;Flensburg – Schleswig;01;0;59;5952;149;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Nordhackstedt;;;;24980;
001;Flensburg – Schleswig;01;0;59;5952;151;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Osterby;;;;24994;
001;Flensburg – Schleswig;01;0;59;5990;152;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Pommerby;;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;154;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Rabel;;;;24376;
001;Flensburg – Schleswig;01;0;59;5990;155;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Rabenholz;;;;24395;
001;Flensburg – Schleswig;01;0;59;5937;157;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Ringsberg;;;;24977;
001;Flensburg – Schleswig;01;0;59;5952;158;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Schafflund;;;;24980;
001;Flensburg – Schleswig;01;0;59;5940;159;Schleswig-Holstein;;Schleswig-Flensburg;Amt Oeversee;Sieverstedt;;;;24885;
001;Flensburg – Schleswig;01;0;59;5949;161;Schleswig-Holstein;;Schleswig-Flensburg;Amt Amt Mittelangeln;Sörup;;;;24966;
001;Flensburg – Schleswig;01;0;59;5912;162;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Sollerup;;;;24852;*****
001;Flensburg – Schleswig;01;0;59;5990;163;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Stangheck;;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;164;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Steinberg;;;;24972;
001;Flensburg – Schleswig;01;0;59;5990;167;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Sterup;;;;24996;
001;Flensburg – Schleswig;01;0;59;5990;168;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Stoltebüll;;;;24409;
001;Flensburg – Schleswig;01;0;59;5912;169;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Süderhackstedt;;;;24852;*****
001;Flensburg – Schleswig;01;0;59;5940;171;Schleswig-Holstein;;Schleswig-Flensburg;Amt Oeversee;Tarp;;;;24963;
001;Flensburg – Schleswig;01;0;59;5952;173;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Wallsbüll;;;;24980;
001;Flensburg – Schleswig;01;0;59;5912;174;Schleswig-Holstein;;Schleswig-Flensburg;Amt Eggebek;Wanderup;;;;24997;
001;Flensburg – Schleswig;01;0;59;5937;176;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Wees;;;;24999;
001;Flensburg – Schleswig;01;0;59;5952;177;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Weesby;;;;24994;
001;Flensburg – Schleswig;01;0;59;5937;178;Schleswig-Holstein;;Schleswig-Flensburg;Amt Langballig;Westerholz;;;;24977;
001;Flensburg – Schleswig;01;0;59;5952;179;Schleswig-Holstein;;Schleswig-Flensburg;Amt Schafflund;Lindewitt;;;;24969;
001;Flensburg – Schleswig;01;0;59;5919;182;Schleswig-Holstein;;Schleswig-Flensburg;Amt Hürup;Freienwill;;;;24991;
001;Flensburg – Schleswig;01;0;59;0000;183;Schleswig-Holstein;;Schleswig-Flensburg;;Handewitt;;;;24983;*****
001;Flensburg – Schleswig;01;0;59;5940;184;Schleswig-Holstein;;Schleswig-Flensburg;Amt Oeversee;Oeversee;;;;24988;
001;Flensburg – Schleswig;01;0;59;5949;185;Schleswig-Holstein;;Schleswig-Flensburg;Amt Amt Mittelangeln;Mittelangeln;;;;24986;
001;Flensburg – Schleswig;01;0;59;5990;186;Schleswig-Holstein;;Schleswig-Flensburg;Amt Geltinger Bucht;Steinbergkirche;;;;24972;
001;Flensburg – Schleswig;01;0;59;5974;187;Schleswig-Holstein;;Schleswig-Flensburg;Amt Süderbrarup;Boren;;;;24392;
001;Flensburg – Schleswig;01;0;59;5996;188;Schleswig-Holstein;;Schleswig-Flensburg;Amt Kropp-Stapelholm;Stapel;;;;25879;
001;Flensburg – Schleswig;01;0;59;5987;189;Schleswig-Holstein;;Schleswig-Flensburg;Amt Südangeln;Brodersby-Goltoft;;;;24864;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;005;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Barkenholm;;;;25791;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;008;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Bergewöhrden;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;013;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Büsum;;;;25761;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;014;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Büsumer Deichhausen;;;;25761;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;019;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Dellstedt;;;;25786;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;020;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Delve;;;;25788;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;023;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Dörpling;;;;25794;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;030;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Fedderingen;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;033;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Friedrichsgabekoog;;;;25764;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;035;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Gaushorn;;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;036;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Glüsing;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;038;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Groven;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;043;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Hedwigenkoog;;;;25761;
002;Nordfriesland – Dithmarschen Nord;01;0;51;0000;044;Schleswig-Holstein;;Dithmarschen;;Heide, Stadt;;;;25746;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;045;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Hellschen-Heringsand-Unterschaar;;;;25764;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;047;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Hemme;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;048;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Hemmingstedt;;;;25770;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;049;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Hennstedt;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;050;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Hillgroven;;;;25764;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;052;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Hövede;;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;053;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Hollingstedt;;;;25788;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;058;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Karolinenkoog;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;060;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Kleve;;;;25779;*****
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;061;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Krempel;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;065;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Lehe;;;;25774;*****
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;067;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Lieth;;;;25770;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;068;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Linden;;;;25791;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;069;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Lohe-Rickelshof;;;;25746;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;071;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Lunden;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;075;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Neuenkirchen;;;;25792;*****
002;Nordfriesland – Dithmarschen Nord;01;0;51;5178;079;Schleswig-Holstein;;Dithmarschen;Amt Büsum-Wesselburen;Norddeich;;;;25764;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;080;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Eider;Norderheistedt;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;081;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Norderwöhrden;;;;25746;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;082;Schleswig-Holstein;;Dithmarschen;Kirchspielslandgemeinde Heider Umland;Nordhastedt;;;;25785;
